frame,hip_angle_r,knee_angle_r,foot_strike_angle_r,hip_angle_l,knee_angle_l,foot_strike_angle_l,torso_angle
1,171.32726367120827,146.9580717473357,94.54319600471811,170.02250073476114,168.63330076220845,98.65954618172753,0.7814208085543359
2,175.81047191061282,137.34183194419845,173.36989752506986,167.85416481513735,162.74432229804646,97.33190609789929,1.6480591665672721
3,166.8601987446749,121.45029011575387,162.08426478293237,165.78991729326162,155.6051339113928,95.52807739542432,3.5591811459451645
4,160.67082483180886,110.35561662267928,123.20136388024089,166.3266907727524,160.5607814810155,91.19453013202128,7.030589032630549
5,157.70234182793268,119.50366739700668,127.9487138524947,166.8567034208534,140.98518075513815,97.63654359752965,6.421816653670138
6,155.87294385356654,123.4296233943834,96.33822639416655,171.0370170638799,152.6016147343069,98.03172851757168,6.006303646643215
7,159.33146841878778,141.5514065799081,109.35986183342901,173.9301866664811,161.85802189089875,94.13786615031866,6.520542746913054
8,162.78943306682427,164.57759332480964,95.60953129183018,178.75438913221296,166.01359327726178,83.39628661391954,6.023886723060275
9,170.55573225085823,166.5582846498427,73.33687766103809,177.42678041948844,155.58920134611716,11.270097336001024,5.058198286433239
10,168.4623597544097,172.27082399147608,88.09064839935633,167.671065192442,169.79017508501798,78.81450864126661,3.7646530433126983
11,169.10861380463666,179.64137515825962,96.07946331805306,167.98202980943475,163.14739369893866,92.68583042309967,2.2875773218959363
12,171.99450157662616,170.97874578961034,105.02360813920288,170.21616233419167,151.28405817016537,95.06733657766073,0.7927360465739784
13,173.9279358435467,163.56545320886707,104.43393542017508,176.91016427982606,133.09382335733326,98.09020364726223,0.5586833866097656
14,171.85566340357641,135.06173681036418,79.12065722477661,174.0695970871383,123.3833111273101,127.09016131535182,0.21742792358693802
15,167.85626666015216,134.72288858370956,91.18238726159004,170.4443891142505,120.42009859502842,132.5791971611338,1.3588692954769326
16,167.89817556363872,140.3754126992419,104.23730485292643,171.49976208855594,125.2882811899706,139.0633740659131,1.7867012804919091
17,178.0906024353542,158.81452006685987,103.98195931104259,165.10772790495497,129.19691294586576,103.50428041207483,2.6745107800685375
18,174.30155470185179,167.9440782022433,93.77127908325843,162.47901068780038,141.40839428694372,95.57136196193652,2.252364097538652
19,169.87380387567603,171.86542809314835,77.50836752849462,167.22967677929654,160.1681358977884,90.93054653565423,1.6419473120309152
20,168.31638095020816,167.38707526669484,80.34429617550047,169.9907441497037,174.8609551093846,91.30059489881668,1.0348188712315247
21,169.36335528708582,158.70673830954357,93.0552664157279,172.57504057945675,178.7344855733648,90.42858855679258,0.4780330200532414
22,172.80130885669823,151.1243994249116,96.54156397194204,170.25285350661392,171.6842483390921,93.97714358569021,1.3802217359567708
23,179.52633452557254,134.1933214055509,97.45116482230473,170.05537418402204,163.7090472781172,95.56572774604402,0.5745758150713564
24,170.66118297320693,117.47703242617435,107.35953202249367,167.18506185091255,170.41911316598595,46.640706622586535,2.4492977760472585
25,162.33667582181752,111.02620330871238,114.47877043171049,167.0797083721501,153.46937052189148,101.54765960785504,3.4765315449170062
26,158.26601395754227,115.21960513285357,116.1423033312105,167.13658132180615,138.62523249351685,106.28545124827026,3.319256185299331
27,152.43397763880387,112.82551917115352,92.8115001940621,170.960891712289,153.06018558051792,109.63999001942015,4.696555645338425
28,158.37724996396818,135.3798264081379,114.34780835201221,177.45311203119928,162.88261026820427,98.94043475748963,4.017042345787517
29,162.23155398670872,154.6228760725274,103.7596200462088,177.6606576888221,169.68293917397628,95.42365340081005,3.3711433239623627
30,164.93973528015812,170.6904285134449,95.04510413263053,173.51779126826963,170.44850453335303,88.13071977602947,3.3200043263538546
31,168.04536123637303,179.97109403456088,94.7160628768793,170.28125953479716,167.60227850450894,92.4721866774072,2.577373157830158
32,169.35557449846192,177.0755596508714,102.35241022709967,169.92557340275204,158.75157186187033,96.93157247143915,1.5836952557778576
33,177.1341846098324,149.3944309250967,94.75007946943914,179.51091025129034,161.1871072789385,100.36818879223978,0.3251403696109593
34,174.61441246974798,158.6374802917965,93.80072240056342,179.65708502654635,128.59735913393277,97.00182524994544,0.8921802892683867
35,168.93380403373837,130.54764456015192,87.30381690034099,174.89393631125708,126.02410189901157,116.95023556121004,0.49012451004421775
36,163.94389607547365,134.79488485261496,80.70114420616139,171.67319474895646,122.18444676492061,148.2433921279023,1.996957352611087
37,168.81577639938592,146.74043885827123,96.59091375845551,170.13386637417153,124.3333576053912,138.37197493780073,2.4654335211686274
38,176.59654255738803,160.09045944860037,95.53428204548392,162.77450019303527,126.59216769439942,104.36879319237667,3.0612791089054476
39,178.5599181740714,165.48048188509384,91.68627266020476,163.5790827080743,144.98721384845712,100.84895141569399,2.438112720330377
40,172.40687223140165,170.06319616370155,82.2739541107124,169.63654136122975,163.46699480484324,99.88297530020021,1.2288667825388935
41,170.61863228609693,165.89861914337658,79.04016971579574,170.68898006484923,175.45109496008365,95.51778275045136,0.6670630545440936
42,172.45891353738185,158.2504046940807,96.12678583095784,171.75109519243682,178.3911986743492,102.1621647845941,1.0180736003491582
