frame,hip_angle_r,knee_angle_r,foot_strike_angle_r,hip_angle_l,knee_angle_l,foot_strike_angle_l,torso_angle,hip_angle_r_smooth,knee_angle_r_smooth,foot_strike_angle_r_smooth,hip_angle_l_smooth,knee_angle_l_smooth,foot_strike_angle_l_smooth,torso_angle_smooth,stride_phase,hip_symmetry,knee_symmetry
1,154.8507658279432,111.12841354942113,136.62511332484797,146.68946478416723,109.50694307735868,83.87759256566875,6.523993711332499,145.65982620514086,100.74578955368492,117.53887380200875,151.6195255009673,116.06984391561424,70.33372446226373,6.630174361324248,0,8.161301043775978,1.621470472062441
2,151.13091386258947,116.56949450321537,108.36090802836128,159.68513235670264,127.8523649058886,56.37664112937573,6.210300518317617,152.81617242662924,120.46396286736109,116.56343938982752,160.4683074291189,131.6553256770619,71.72470332851825,5.2429264608863555,1,8.554218494113172,11.28287040267324
3,148.0553901036803,127.4397689072807,113.07775520782604,178.62366862724264,155.35413127136542,76.06037291514521,4.351396033706222,158.9229796193189,135.97584096761005,114.82619584364976,167.22355171820115,143.92797685466417,73.40585627412501,4.0718055514507,2,30.568278523562327,27.914362364084724
4,154.39263691696044,137.39603212175302,94.87192903458654,175.49135363118032,154.01981465819574,50.74873345289098,3.0303285545482166,163.9802477832099,147.28142385443178,112.32714316347547,171.885258368214,152.887797448421,75.37718329908402,3.1168116330172806,3,21.098716714219876,16.623782536442718
5,170.22235446158757,153.05126772891282,98.84300603284048,171.90020578995052,177.17183874000747,64.22788717830664,0.3671886606555444,167.9879769183022,154.3807115278263,109.06628134930466,174.4534273791575,158.53478745833235,77.63868440339526,2.3779447055860983,4,1.677851328362948,24.120571011094654
6,178.20299619207745,156.60570699206235,100.6467504323131,167.23888005260184,153.3764933288351,128.84083764638336,0.3879151794752016,170.94616702459626,157.27370398779405,105.04361040113754,174.9280587510321,160.8689468843986,80.19035958705891,1.8552047691571514,5,10.964116139475607,3.229213663227256
7,179.72702639115863,170.51402861775478,92.22319082024828,166.11408545066104,147.23248779182316,122.53055692837954,1.882320207390973,173.68940344161365,153.4427508797957,104.49412087583347,170.46729040503473,154.25522603631734,89.05857483098812,1.7085700464591618,6,13.612940940497595,23.281540825931614
8,176.17482182824233,178.43067022927747,111.12590138618188,174.950479441421,137.51041387764965,50.74873345289098,3.1335658056257394,176.9631449313689,145.7699373066231,100.25535657301711,164.88328161059906,148.74096382356362,89.45281334924826,1.763281266317011,7,1.22434238682132,40.92025635162781
9,171.5329834882494,115.63119721872212,136.62511332484797,161.20568834968356,162.10745633164586,59.42717048345809,3.329507692537438,176.42725416110437,139.92112627595623,94.54296792265498,160.9916118100295,144.53985404799315,90.29472669447264,1.9103356419562156,8,10.327295138565859,46.47625911292374
10,169.01458027808212,114.79297871450738,70.25703402543279,167.45104448813865,139.90974107601878,92.9397108894074,2.1977819088231336,173.5979180288743,135.46720882369652,81.35625502720092,158.4759176822414,139.08651887478862,86.53641429760484,2.303906220060669,9,1.5635357899434723,25.11676236151139
11,169.37872133605498,117.10494854432608,50.92351042521488,139.71407314078257,123.31104855809332,112.27529318011266,0.8799386934390354,170.33234616693773,135.6156179149926,69.77865040491261,157.23000550912394,140.6237150752646,77.67410194150479,2.2327859434982718,10,29.664648195272406,6.206100013767241
12,179.9421656970265,142.54642553531994,62.68839422280441,155.21498174452137,155.86591509276886,64.01576056649213,1.082623719967377,167.78931854116885,138.2812432149892,63.43509611473153,156.48517024064438,143.9437646953915,75.95780380011449,1.7282075386471054,11,24.72718395250513,13.319489557448918
13,162.4358357877071,164.61829955988875,50.92351042521488,157.80732979534832,140.7591310615134,77.48706275120803,2.052395915962354,165.58881206639046,146.42579541368747,58.35252858162836,158.7802617915105,148.81088394080624,76.11969778637376,1.219560148351138,12,4.628505992358782,23.859168498375368
14,162.70904921675742,161.5825582212121,50.92351042521488,166.2062432814056,147.6137395069221,76.61621860461706,2.572483644691455,165.55970485371645,159.41375013410857,64.09622106854133,164.25487563127058,151.64963970821287,69.56922998548261,1.4310602492165354,13,3.49719406464817,13.968818714290023
15,160.35599274388952,163.8352655714918,88.95978885987861,167.79977869956667,166.7869055168569,50.74873345289098,1.0636028396841777,165.85958719844686,159.31414442236297,83.47990959479498,166.19705732819995,160.28879599098667,63.828746688078645,2.038928531369841,14,7.443785955677157,2.951639945365116
16,164.29651445898824,153.58016159537547,106.74889825006348,169.28459713691817,173.33729809859224,50.74873345289098,0.8602592371314539,165.30990119636746,150.41380304070523,98.36059866955839,166.0739446930997,172.27896501506783,55.80036071146136,2.527173755729529,15,4.988082677929924,19.75713650321677
17,166.4381210314317,145.68778449122453,106.9108942907186,174.73320021966572,169.7171779393941,58.36163387269815,2.552629686561241,163.95209182630703,135.88700377853985,107.34773418205734,161.74317908067496,173.32945834445627,62.07624718937366,2.6230826136948435,16,8.295079188234013,24.02939344816957
18,175.52002378305997,125.07935329635716,129.82938739416903,157.98776919793443,167.101661220596,79.39385301433727,4.869166531283878,168.40774360032253,125.72436238708457,115.03834471661482,156.3318653042413,168.65428347485107,67.64077959744726,2.392146927115,17,17.532254585125543,42.02230792423883
19,167.34832279469714,99.28308330548472,119.5353175166298,139.71407314078257,179.14700896387976,71.77359690482224,2.9333967979834146,169.05617365721315,119.80812615461312,116.30618431772442,153.29660902146304,160.78520304958857,73.01640957650812,2.1198503034481186,18,27.634249653914566,79.86392565839503
20,162.91793499015236,103.0788406752569,103.2015240053582,139.71407314078257,176.6344107650591,50.74873345289098,1.1982256439363674,168.93842614202248,118.47833510912366,108.8573145076093,152.047369318157,152.34143223753972,77.51122476523602,1.660401199857439,19,23.203861849369787,73.5555700898022
21,166.43232453986968,125.75641866339988,94.13871576082704,157.73223756181793,114.72845959947328,112.96353460287496,0.4963237769052721,167.84774125054903,124.7619984469562,101.98220071357983,153.33244235844325,149.35214458758549,76.31423237106091,1.3751368244902447,20,8.700086978051758,11.027959063926602
22,178.97819849349145,148.89045050903266,98.664147790687,155.1493396955726,115.77605203870998,82.30664763004663,0.2450436775395745,167.0945411887737,130.15330555226964,100.35621925389839,155.24126736233876,149.6923818421952,65.04294687998839,0.9912099857925866,21,23.828858797918855,33.11439847032268
23,155.45554186277454,141.4824286573696,91.1334242789226,173.98793178325087,157.27375889455072,50.74873345289098,0.8359648639648337,163.0035994531201,143.00840533048606,91.36071628732897,162.66071181633305,145.19072398907986,60.99690015567603,1.310730244767412,22,18.532389920476334,15.791330237181114
24,162.62824779775707,154.8066858287218,83.7799001813292,166.2537516539203,160.86804138843462,50.74873345289098,1.2448692474568732,161.342025883684,153.255292430594,84.0549926841731,168.6174933847795,142.07387740913583,63.300719042481944,2.2810414451389773,23,3.6255038561632205,6.061355559712808
25,162.6636500349319,157.41519808398536,95.16603443792155,170.02679441034414,165.58917721860095,50.74873345289098,4.585044850743807,159.34786892787076,153.54864790443372,86.49227874367804,172.9973200899734,144.3481339620583,71.76681636584064,3.140876852382797,24,7.363144375412247,8.173979134615593
26,159.00842028289804,137.82476276285138,97.0939412840637,165.21493781846132,142.2932253804837,50.74873345289098,3.829083574451949,159.40346205812068,147.08746822598823,88.13867679822907,171.40962929019304,146.8487775576806,79.141338782438,3.524554835849747,25,6.206517535563279,4.468462617632326
28,146.84109250251822,168.71521391902849,50.92351042521488,178.69691660478523,112.9172260792609,128.84083764638336,5.396294764295599,160.19453751957127,143.12753736134678,84.35139846073213,166.9051335224192,137.5955026316504,94.15232466527522,3.379389864889098,27,31.855824102267007,55.797987839767586
29,166.20295300066064,133.32271609158445,82.71464569289401,164.21469827028963,137.11941779105263,117.63903787877992,3.020654262181039,163.48079330606643,143.8872267799678,80.66701436442509,161.30859107189264,125.37145251625134,106.72083771356975,3.3229071125191023,28,1.9882547303710112,3.796701699468173
30,167.30145794587904,123.11666093323288,119.61094394089696,165.84962435614017,130.15920429584207,128.84083764638336,1.676361936735452,162.93897689559043,146.71812346320107,78.79510945554375,158.98610898787211,120.77699190813034,110.15822028375672,3.078424374195613,29,1.4518335897388681,7.0425433626091944
